Items,densite,melt,COULEUR,I_CM,I_G,I_F
HMW,0.956,6.0,MIX,EXT,1.0,RP
LDPE,0.92,1.3,MIX,EXT,1.0,RP
HMW,0.957,10.0,MIX,EXT,1.0,RP
MDPE,0.937,4.0,BK,OFF,S,RP
MDPE,0.942,3.5,BK,OFF,S,RP
MDPE,0.942,3.4,BK,OFF,S,RP
MDPE,0.942,3.6,BK,OFF,S,RP
MDPE,0.942,3.3,BK,OFF,S,RP
MDPE,0.937,3.4,BK,OFF,S,RP
MDPE,0.937,2.9,BK,OFF,S,RP
MDPE,0.942,2.7,BK,OFF,S,RP
HDPE,0.961,3.6,BK,INJ,1.0,RP
MDPE,0.942,3.1,BK,OFF,S,RP
MDPE,0.942,4.7,BK,OFF,S,RP
LDPE,0.92,6.0,MIX,OFF,MEL,RP
HDPE,0.961,3.9,BK,INJ,1.0,RP
HDPE,0.956,0.45,MIX,EXT,1.0,RP
HDPE,0.958,0.46,MIX,EXT,1.0,RP
HDPE,0.961,0.44,MIX,EXT,1.0,RP
HDPE,0.958,0.48,MIX,EXT,1.0,RP
HDPE,0.961,0.46,MIX,EXT,1.0,RP
LDPE,0.92,10.3,MIX,OFF,MEL,RP
LDPE,0.925,7.0,MIX,OFF,MEL,RP
LDPE,0.92,7.5,MIX,OFF,MEL,RP
LDPE,0.925,7.9,MIX,OFF,MEL,RP
LDPE,0.925,13.0,MIX,OFF,MEL,RP
HDPE,0.96,0.52,MIX,EXT,E,RG
HDPE,0.954,4.0,BK,INJ,1.0,RP
HDPE,0.954,5.4,BK,INJ,1.0,RP
HDPE,0.954,3.8,BK,INJ,1.0,RP
HDPE,0.951,5.4,BK,INJ,1.0,RP
HDPE,0.956,0.54,MIX,EXT,1.0,RP
HDPE,0.956,0.47,MIX,EXT,1.0,RP
HDPE,0.954,0.62,MIX,EXT,1.0,RP
HDPE,0.956,0.6,MIX,EXT,1.0,RP
MDPE,0.937,3.9,BK,OFF,S,RP
MDPE,0.949,5.2,BK,OFF,S,RP
MDPE,0.951,3.7,BK,OFF,S,RP
MDPE,0.946,3.6,BK,OFF,S,RP
MDPE,0.946,3.3,BK,OFF,S,RP
MDPE,0.946,3.2,BK,OFF,S,RP
MDPE,0.949,3.8,BK,OFF,S,RP
MDPE,0.951,4.9,MIX,OFF,1.0,RP
HDPE,0.96,0.52,MIX,EXT,R,RG
HDPE,0.951,5.3,BK,INJ,1.0,RP
HDPE,0.956,0.65,MIX,EXT,1.0,RP
HDPE,0.956,0.63,MIX,EXT,1.0,RP
MDPE,0.946,3.1,BK,OFF,S,RP
HDPE,0.965,2.9,BK,INJ,1.0,RP
MDPE,0.951,4.6,MIX,OFF,1.0,RP
MDPE,0.951,4.5,MIX,OFF,1.0,RP
MDPE,0.951,3.7,MIX,OFF,1.0,RP
MDPE,0.951,4.3,MIX,OFF,1.0,RP
MDPE,0.951,3.9,MIX,OFF,1.0,RP
MDPE,0.951,4.4,MIX,OFF,1.0,RP
MDPE,0.937,3.5,BK,OFF,S,RP
MDPE,0.937,3.3,BK,OFF,S,RP
MDPE,0.937,3.7,BK,OFF,S,RP
HDPE,0.925,4.2,MIX,INJ,E,RG
HDPE,0.925,4.2,MIX,INJ,R,RG
HDPE,0.965,0.41,MIX,EXT,1.0,RP
MDPE,0.951,4.7,MIX,OFF,1.0,RP
MDPE,0.954,3.9,MIX,OFF,1.0,RP
MDPE,0.954,4.2,MIX,OFF,1.0,RP
MDPE,0.951,4.0,MIX,OFF,1.0,RP
HDPE,0.951,0.64,MIX,EXT,1.0,RP
HDPE,0.954,0.61,MIX,EXT,1.0,RP
MDPE,0.937,3.1,BK,OFF,S,RP
HDPE,0.925,0.24,MIX,EXT,MEL,RG
MDPE,0.954,4.1,MIX,OFF,1.0,RP
MDPE,0.951,2.1,MIX,OFF,1.0,RP
MDPE,0.951,3.8,MIX,OFF,1.0,RP
MDPE,0.951,4.2,MIX,OFF,1.0,RP
HDPE,0.954,0.5,MIX,EXT,1.0,RP
HDPE,0.954,0.47,MIX,EXT,1.0,RP
MDPE,0.937,3.6,BK,OFF,S,RP
MDPE,0.937,3.8,BK,OFF,S,RP
MDPE,0.942,3.7,BK,OFF,S,RP
MDPE,0.937,4.4,BK,OFF,S,RP
HDPE,0.958,0.35,MIX,EXT,HF,RP
HDPE,0.951,4.1,MIX,OFF,1.0,RP
HDPE,0.973,8.5,MIX,OFF,FO,RG
HDPE,0.958,1.5,MIX,OFF,FO,RG
HDPE,0.965,1.7,MIX,OFF,FO,RG
HDPE,0.956,4.4,MIX,OFF,FO,RG
HDPE,0.961,3.1,MIX,OFF,FO,RG
HDPE,0.925,5.1,MIX,OFF,FO,RG
HDPE,0.937,4.3,MIX,OFF,FO,RG
HDPE,0.949,2.7,MIX,OFF,FO,RG
HDPE,0.942,2.8,MIX,OFF,FO,RG
HDPE,0.925,4.1,MIX,OFF,FO,RG
HDPE,0.961,2.1,MIX,OFF,FO,RG
HDPE,0.937,5.0,MIX,OFF,FO,RG
HDPE,0.965,1.9,MIX,OFF,FO,RG
HDPE,0.942,2.2,MIX,OFF,L,RG
LDPE,0.969,5.1,MIX,OFF,FO,RG
HDPE,0.942,5.6,MIX,OFF,MEL,RG
HDPE,0.947,4.8,MIX,INJ,E,RG
HDPE,0.947,4.8,MIX,INJ,R,RG
HMW,0.958,22.0,MIX,EXT,1.0,RP
HDPE,0.938,1.2,MIX,OFF,FO,RG
HDPE,0.958,0.29,MIX,EXT,HF,RP
HDPE,0.969,4.0,BK,INJ,1.0,RP
HDPE,0.969,3.6,BK,INJ,1.0,RP
HDPE,0.969,3.2,BK,INJ,1.0,RP
HDPE,0.969,4.4,BK,INJ,1.0,RP
HDPE,0.958,0.27,MIX,EXT,HF,RP
HDPE,0.958,0.43,MIX,EXT,HF,RP
HDPE,0.958,0.38,MIX,EXT,HF,RP
HDPE,0.958,0.39,MIX,EXT,HF,RP
HDPE,0.951,0.26,MIX,EXT,HF,RP
HDPE,0.965,0.23,MIX,EXT,HF,RP
HDPE,0.965,4.2,BK,INJ,1.0,RP
HDPE,0.965,3.1,BK,INJ,MEL,RP
LDPE,0.92,1.5,MIX,OFF,S,RP
LDPE,0.92,1.4,MIX,OFF,S,RP
LDPE,0.92,1.6,MIX,OFF,S,RP
HDPE,0.965,0.38,MIX,EXT,1.0,RP
HDPE,0.965,0.27,MIX,EXT,HF,RP
HDPE,0.965,0.51,MIX,EXT,MEL,RP
HDPE,0.975,0.74,BK,EXT,CH,RP
HDPE,0.975,0.72,BK,EXT,CH,RP
HDPE,0.975,0.76,BK,EXT,CH,RP
HDPE,0.965,0.66,MIX,EXT,MEL,RP
HDPE,0.965,0.63,MIX,EXT,MEL,RP
HDPE,0.958,0.51,MIX,EXT,MEL,RP
HDPE,0.965,0.68,MIX,EXT,MEL,RP
HDPE,0.965,0.3,MIX,EXT,MEL,RP
HDPE,0.91,0.35,MIX,EXT,MEL,RP
HDPE,0.961,5.0,MIX,INJ,MEL,RP
HDPE,0.965,0.79,MIX,EXT,MEL,RP
HDPE,0.92,0.66,MIX,EXT,MEL,RP
HDPE,0.962,0.58,MIX,EXT,MEL,RP
HDPE,0.952,0.7,MIX,EXT,MEL,RP
HDPE,0.949,0.58,MIX,EXT,MEL,RP
HDPE,0.965,0.49,MIX,EXT,MEL,RP
HDPE,0.946,0.66,MIX,EXT,MEL,RP
HDPE,0.954,0.42,MIX,EXT,MEL,RP
HDPE,0.952,4.2,MIX,OFF,1.0,RP
HDPE,0.952,5.3,MIX,OFF,1.0,RP
HDPE,0.952,4.6,MIX,OFF,1.0,RP
LDPE,0.952,6.0,MIX,INJ,CH,RP
LDPE,0.951,4.8,MIX,INJ,CH,RG
LDPE,0.975,5.8,MIX,INJ,CH,RP
LDPE,0.973,8.3,MIX,INJ,CH,RG
LDPE,0.961,14.0,MIX,INJ,CH,RG
LDPE,0.975,5.4,MIX,INJ,CH,RG
LDPE,0.937,8.1,MIX,INJ,CH,RP
HDPE,0.965,5.9,MIX,OFF,1.0,RG
HDPE,0.965,6.5,MIX,INJ,MEL,RG
HDPE,0.962,6.5,MIX,INJ,MEL,RG
HDPE,0.932,4.9,MIX,INJ,MEL,RG
HDPE,0.958,7.8,MIX,INJ,MEL,RG
HDPE,0.952,7.2,MIX,INJ,MEL,RG
HDPE,0.958,7.6,MIX,INJ,MEL,RG
HDPE,0.965,5.3,MIX,INJ,MEL,RG
HDPE,0.942,9.6,MIX,INJ,MEL,RG
HDPE,0.925,6.8,MIX,INJ,MEL,RG
HDPE,0.965,7.7,MIX,INJ,MEL,RG
HDPE,0.954,4.3,MIX,OFF,1.0,RP
HDPE,0.952,4.3,MIX,OFF,1.0,RP
HDPE,0.954,4.4,MIX,OFF,1.0,RP
HDPE,0.953,4.4,MIX,OFF,1.0,RP
HDPE,0.965,4.8,MIX,INJ,MEL,RG
HDPE,0.958,0.38,MIX,EXT,1.0,RP
HDPE,0.942,5.2,MIX,INJ,E,RG
HDPE,0.942,5.2,MIX,INJ,R,RG
HDPE,0.951,0.31,MIX,EXT,E,RG
HDPE,0.951,0.34,MIX,EXT,E,RG
HDPE,0.956,0.32,MIX,EXT,E,RG
HDPE,0.958,5.1,MIX,INJ,E,RG
HDPE,0.965,6.8,MIX,INJ,MEL,RG
HDPE,0.958,0.34,MIX,EXT,HF,RP
HDPE,0.942,0.38,MIX,EXT,HF,RP
HDPE,0.975,0.41,MIX,EXT,HF,RP
HDPE,0.954,0.24,MIX,EXT,HF,RP
HDPE,0.952,0.26,MIX,EXT,HF,RP
HDPE,0.958,0.3,MIX,EXT,HF,RP
HDPE,0.952,0.29,MIX,EXT,HF,RP
LDPE,0.932,3.4,NAT,OFF,MEL,WS
LDPE,0.932,3.5,NAT,OFF,MEL,WS
LDPE,0.925,4.4,NAT,OFF,MEL,WS
LDPE,0.932,35.0,MIX,OFF,CH,RG
LDPE,0.925,3.6,NAT,OFF,MEL,WS
LDPE,0.937,10.0,YELI,OFF,MEL,WS
LDPE,0.932,3.6,MIX,OFF,MEL,RP
LDPE,0.952,4.4,BK,X,CH,RP
HDPE,0.946,3.7,MIX,INJ,1.0,RP
HDPE,0.952,0.27,MIX,EXT,HF,RP
HDPE,0.952,0.25,MIX,EXT,HF,RP
HDPE,0.954,0.27,MIX,EXT,HF,RP
HDPE,0.954,0.25,MIX,EXT,HF,RP
HDPE,0.954,0.29,MIX,EXT,HF,RP
HDPE,0.949,4.1,MIX,INJ,1.0,RP
HDPE,0.942,3.9,MIX,INJ,1.0,RP
MDPE,0.942,2.4,MIX,OFF,E,RG
MDPE,0.937,2.0,MIX,OFF,E,RG
HDPE,0.951,0.8,MIX,EXT,E,RG
HDPE,0.951,0.52,MIX,EXT,E,RG
HDPE,0.956,0.8,MIX,EXT,E,RG
HDPE,0.952,0.47,MIX,EXT,E,RG
HDPE,0.946,0.4,MIX,EXT,E,RG
HMW,0.958,9.1,MIX,EXT,HF,RP
HDPE,0.957,0.28,MIX,EXT,HF,RP
HDPE,0.951,0.5,MIX,EXT,HF,RP
HDPE,0.953,4.0,MIX,INJ,1.0,RP
HDPE,0.932,4.2,MIX,INJ,1.0,RP
HDPE,0.937,4.8,MIX,INJ,1.0,RP
HDPE,0.951,0.83,MIX,EXT,E,RG
HDPE,0.948,13.0,MIX,INJ,E,RG
LDPE,0.925,5.8,MIX,INJ,MEL,RG
HDPE,0.975,0.44,MIX,EXT,HF,RP
HDPE,0.949,3.6,MIX,INJ,1.0,RP
HDPE,0.952,4.5,MIX,INJ,1.0,RP
HDPE,0.952,7.3,BK,INJ,FO,RG
HDPE,0.952,0.27,NAT,EXT,2.0,WS
HMW,0.956,13.0,MIX,EXT,E,RG
HDPE,0.965,6.0,BK,INJ,FO,RG
HMW,0.958,9.5,MIX,EXT,HF,RP
HMW,0.958,10.0,MIX,EXT,HF,RP
HMW,0.958,9.4,MIX,EXT,HF,RP
HDPE,0.969,5.5,BK,INJ,1.0,RP
HDPE,0.973,6.5,BK,INJ,1.0,RP
HMW,0.975,13.0,MIX,EXT,HF,RP
HMW,0.956,13.0,MIX,EXT,HF,RP
HMW,0.975,15.0,MIX,EXT,HF,RP
HMW,0.958,20.0,MIX,EXT,HF,RP
HMW,0.958,12.0,MIX,EXT,HF,RP
HMW,0.956,15.0,MIX,EXT,HF,RP
HMW,0.958,18.0,MIX,EXT,HF,RP
HDPE,0.973,5.3,BK,INJ,1.0,RP
HDPE,0.973,4.7,BK,INJ,1.0,RP
HDPE,0.965,3.7,MIX,INJ,C,RP
HDPE,0.969,2.6,BK,INJ,1.0,RP
HDPE,0.969,3.1,BK,INJ,2.0,RP
HDPE,0.92,6.0,MIX,INJ,MEL,RG
HDPE,0.954,0.42,MIX,EXT,MEL,RG
HDPE,0.954,0.25,MIX,EXT,MEL,RG
LDPE,0.925,3.3,MIX,OFF,MEL,RG
LDPE,0.975,1.8,MIX,OFF,MEL,RG
HDPE,0.932,3.4,MIX,OFF,FO,RG
HDPE,0.961,1.4,MIX,OFF,FO,RG
LDPE,0.932,0.32,MIX,EXT,MEL,RG
HDPE,0.92,1.6,MIX,OFF,FO,RG
HDPE,0.975,0.41,MIX,EXT,MEL,RG
LDPE,0.937,4.8,MIX,OFF,MEL,RG
HDPE,0.975,0.51,MIX,EXT,MEL,RG
LDPE,0.975,3.6,MIX,OFF,MEL,RP
HDPE,0.965,2.0,MIX,OFF,MEL,RG
HDPE,0.932,6.9,MIX,OFF,MEL,RG
HDPE,0.954,0.26,MIX,EXT,MEL,RG
HDPE,0.92,9.4,MIX,INJ,MEL,RG
HMW,0.956,14.0,MIX,EXT,HF,RP
HMW,0.957,10.0,MIX,EXT,HF,RP
HDPE,0.961,3.5,BK,INJ,1.0,RP
HDPE,0.973,0.3,MIX,EXT,HF,RP
HMW,0.961,8.0,MIX,EXT,HF,RP
HDPE,0.951,4.3,MIX,INJ,1.0,RP
HDPE,0.951,3.3,MIX,INJ,1.0,RP
HDPE,0.951,3.5,MIX,INJ,1.0,RP
HDPE,0.954,3.8,MIX,INJ,1.0,RP
HDPE,0.951,4.6,MIX,INJ,1.0,RP
HDPE,0.951,3.1,MIX,INJ,1.0,RP
HDPE,0.951,4.2,MIX,INJ,1.0,RP
HDPE,0.951,4.7,MIX,INJ,1.0,RP
HDPE,0.951,3.7,MIX,INJ,1.0,RP
MDPE,0.942,1.9,MIX,OFF,1.0,RP
MDPE,0.942,1.4,MIX,OFF,1.0,RP
MDPE,0.942,2.0,MIX,OFF,1.0,RP
MDPE,0.942,1.7,MIX,OFF,1.0,RP
MDPE,0.942,2.1,MIX,OFF,1.0,RP
MDPE,0.942,2.4,MIX,OFF,1.0,RP
MDPE,0.942,2.3,MIX,OFF,1.0,RP
MDPE,0.942,1.6,MIX,OFF,1.0,RP
HDPE,0.942,26.0,MIX,INJ,E,RG
HDPE,0.965,4.5,MIX,INJ,E,RG
HDPE,0.958,4.9,MIX,INJ,E,RG
HDPE,0.946,15.0,MIX,INJ,E,RG
HDPE,0.967,0.48,MIX,EXT,1.0,RP
HDPE,0.951,3.7,MIX,OFF,1.0,RP
HDPE,0.956,0.22,MIX,EXT,HF,RP
HDPE,0.956,0.34,MIX,EXT,HF,RP
HDPE,0.956,0.25,MIX,EXT,HF,RP
HDPE,0.956,0.33,MIX,EXT,HF,RP
HDPE,0.956,0.21,MIX,EXT,HF,RP
PE/PP,0.965,0.27,MIX,EXT,PUF,RP
HDPE,0.951,0.23,MIX,EXT,MEL,RP
HDPE,0.951,0.25,MIX,EXT,HF,RP
HDPE,0.961,0.29,MIX,EXT,E,RG
HDPE,0.956,0.26,MIX,EXT,E,RG
HDPE,0.958,0.23,MIX,EXT,E,RG
HDPE,0.962,0.32,MIX,EXT,E,RG
HDPE,0.951,0.17,MIX,EXT,E,RG
HDPE,0.958,0.31,MIX,EXT,E,RG
HDPE,0.942,0.56,MIX,EXT,E,RG
HDPE,0.962,0.28,MIX,EXT,E,RG
HDPE,0.961,22.0,BK,INJ,1.0,RP
HDPE,0.961,0.45,MIX,EXT,MEL,RG
HDPE,0.961,0.47,MIX,EXT,MEL,RG
HDPE,0.961,0.33,MIX,EXT,MEL,RG
HDPE,0.954,0.39,MIX,EXT,E,RG
HDPE,0.961,0.35,MIX,EXT,MEL,RG
HDPE,0.961,0.48,MIX,EXT,E,RG
HDPE,0.954,0.19,MIX,EXT,HF,RP
HDPE,0.954,0.21,MIX,EXT,HF,RP
HDPE,0.961,0.25,MIX,EXT,HF,RP
HDPE,0.961,0.2,MIX,EXT,HF,RP
HDPE,0.965,0.2,MIX,EXT,HF,RP
HMW,0.942,8.0,MIX,EXT,HF,RP
HMW,0.942,9.0,MIX,EXT,HF,RP
HDPE,0.975,3.7,BK,INJ,1.0,RP
HDPE,0.975,3.6,BK,INJ,1.0,RP
HDPE,0.948,4.8,MIX,OFF,1.0,RG
HDPE,0.942,0.12,MIX,EXT,HF,RP
HMW,0.946,9.0,MIX,EXT,HF,RP
HDPE,0.975,3.9,BK,INJ,1.0,RP
HDPE,0.973,4.4,BK,INJ,1.0,RP
HDPE,0.951,0.18,MIX,EXT,E,RG
HDPE,0.965,4.7,BK,INJ,1.0,RP
HDPE,0.969,5.8,BK,INJ,1.0,RP
HDPE,0.962,5.9,BK,INJ,1.0,RP
HMW,0.942,10.0,MIX,EXT,HF,RP
HMW,0.942,6.0,MIX,EXT,HF,RP
HMW,0.942,0.08,MIX,EXT,HF,RP
HMW,0.946,10.0,MIX,EXT,HF,RP
HMW,0.942,7.0,MIX,EXT,HF,RP
HDPE,0.965,4.8,BK,INJ,2.0,RP
HDPE,0.965,5.0,BK,INJ,2.0,RP
HDPE,0.965,4.9,BK,INJ,2.0,RP
HDPE,0.965,3.5,BK,INJ,2.0,RP
HDPE,0.965,5.1,BK,INJ,2.0,RP
HDPE,0.965,0.16,MIX,EXT,MEL,RG
HDPE,0.92,6.5,MIX,OFF,FO,RG
HDPE,0.959,0.35,MIX,EXT,HF,RP
LDPE,0.942,1.1,MIX,OFF,1.0,RP
HDPE,0.952,0.28,MIX,EXT,HF,RP
HDPE,0.95,0.29,MIX,EXT,HF,RP
HMW,0.938,9.0,MIX,EXT,HF,RP
HDPE,0.942,0.11,MIX,EXT,HF,RP
HDPE,0.942,0.15,MIX,EXT,HF,RP
HDPE,0.958,0.12,MIX,EXT,HF,RP
HDPE,0.958,0.19,MIX,EXT,HF,RP
HDPE,0.957,0.2,MIX,EXT,HF,RP
HDPE,0.969,0.52,MIX,EXT,1.0,RP
HDPE,0.958,0.21,MIX,EXT,HF,RP
HDPE,0.956,0.23,MIX,EXT,HF,RP
HDPE,0.942,8.9,MIX,INJ,1.0,RG
HDPE,0.946,9.1,MIX,INJ,1.0,RG
HDPE,0.946,9.7,MIX,INJ,1.0,RG
HDPE,0.956,0.24,MIX,EXT,HF,RP
HDPE,0.964,0.44,MIX,EXT,1.0,RG
HDPE,0.968,0.56,MIX,EXT,1.0,RP
HDPE,0.961,0.32,MIX,EXT,E,RG
HDPE,0.975,0.5,MIX,EXT,HF,RP
MDPE,0.942,5.1,MIX,INJ,E,RP
MDPE,0.942,1.4,MIX,OFF,MEL,RG
MDPE,0.943,1.1,MIX,OFF,MEL,RG
HDPE,0.975,0.48,MIX,EXT,MEL,RP
HDPE,0.964,0.44,MIX,EXT,R,RG
HDPE,0.956,4.9,MIX,OFF,FO,RG
HDPE,0.956,3.9,MIX,OFF,MEL,RG
HDPE,0.925,4.6,MIX,OFF,MEL,RG
HDPE,0.937,43.0,MIX,HM,1.0,RG
HDPE,0.958,0.19,MIX,EXT,1.0,RP
HDPE,0.958,0.25,MIX,EXT,1.0,RP
HDPE,0.958,0.23,MIX,EXT,HF,RP
HDPE,0.965,3.6,BK,OFF,2.0,RP
HDPE,0.965,0.36,BK,EXT,2.0,RP
HDPE,0.961,2.6,BK,OFF,MEL,RP
HDPE,0.958,4.5,BK,INJ,1.0,RP
HDPE,0.938,5.6,BK,INJ,2.0,RP
HDPE,0.942,6.8,BK,INJ,2.0,RP
HDPE,0.938,6.7,BK,INJ,2.0,RP
HDPE,0.965,3.8,BK,OFF,MEL,RP
HDPE,0.953,4.2,BK,INJ,1.0,RP
HDPE,0.958,3.8,BK,OFF,MEL,RP
HDPE,0.958,3.3,BK,OFF,MEL,RP
HDPE,0.958,3.6,BK,OFF,MEL,RP
HDPE,0.942,4.3,BK,INJ,MEL,RP
HDPE,0.942,5.4,BK,INJ,MEL,RP
HDPE,0.961,0.29,MIX,EXT,2.0,RG
HMW,0.951,10.0,MIX,EXT,MEL,RG
HDPE,0.937,7.0,MIX,OFF,C,RG
HDPE,0.975,0.55,MIX,EXT,1.0,RG
HDPE,0.965,4.4,BK,INJ,MEL,RP
HDPE,0.956,0.31,MIX,EXT,E,RG
LDPE,0.92,0.53,NAT,EXT,3.0,WS
HDPE,0.961,0.26,MIX,EXT,1.0,RP
HDPE,0.961,0.38,MIX,EXT,1.0,RP
LDPE,0.92,1.4,NAT,OFF,F,C
LDPE,0.946,7.0,BK,X,2.0,RP
HDPE,0.975,5.1,BK,INJ,MEL,RG
HDPE,0.961,7.5,MIX,INJ,MEL,RG
HMW,0.956,15.0,MIX,EXT,MEL,RG
HDPE,0.961,0.35,MIX,EXT,1.0,RP
HDPE,0.958,0.2,MIX,EXT,HF,RP
LDPE,0.925,0.6,MIX,EXT,HF,RP
HDPE,0.946,0.23,MIX,EXT,1.0,RG
HDPE,0.946,0.23,MIX,EXT,R,RG
LDPE,0.956,0.28,MIX,EXT,HF,RP
HDPE,0.956,0.56,MIX,EXT,HF,RP
HDPE,0.961,0.81,MIX,EXT,1.0,RP
HDPE,0.956,0.54,MIX,EXT,HF,RP
HDPE,0.956,0.51,MIX,OFF,1.0,RP
HDPE,0.952,4.9,MIX,INJ,1.0,RP
HDPE,0.949,4.7,MIX,INJ,2.0,RP
HDPE,0.942,3.8,MIX,OFF,1.0,RP
LDPE,0.925,1.5,WH,OFF,3.0,RP
HDPE,0.963,0.27,MIX,EXT,HF,RP
HDPE,0.967,0.51,MIX,EXT,1.0,RP
HDPE,0.975,0.57,MIX,EXT,CH,RG
HDPE,0.958,0.22,MIX,EXT,MEL,RG
HDPE,0.958,0.35,MIX,EXT,MEL,RG
HDPE,0.958,0.3,MIX,EXT,MEL,RG
HDPE,0.958,0.16,MIX,EXT,MEL,RG
HDPE,0.958,0.19,MIX,EXT,MEL,RG
HDPE,0.958,0.44,MIX,EXT,MEL,RG
HDPE,0.958,0.32,MIX,EXT,MEL,RG
HDPE,0.965,0.44,MIX,EXT,MEL,RG
HDPE,0.958,0.37,MIX,EXT,MEL,RG
HDPE,0.961,0.19,MIX,EXT,MEL,RG
HDPE,0.958,0.31,MIX,EXT,MEL,RG
HDPE,0.958,0.15,MIX,EXT,MEL,RG
HDPE,0.958,0.18,MIX,EXT,HF,RP
HDPE,0.958,0.22,MIX,EXT,HF,RP
HDPE,0.958,0.25,BK,EXT,HF,RP
HDPE,0.958,0.34,BK,EXT,HF,RP
HDPE,0.965,0.26,MIX,EXT,HF,RP
HDPE,0.973,0.2,MIX,EXT,HF,RP
LDPE,0.92,5.9,NAT,INJ,1.0,WS
HDPE,0.955,5.6,MIX,INJ,E,RG
HDPE,0.955,5.6,MIX,INJ,L,RG
HDPE,0.965,0.54,MIX,EXT,HF,RP
HDPE,0.949,0.24,MIX,EXT,HF,RP
HDPE,0.949,0.22,MIX,EXT,HF,RP
LDPE,0.925,13.0,MIX,INJ,MEL,RG
LDPE,0.969,7.3,MIX,INJ,MEL,RG
HDPE,0.965,0.3,MIX,EXT,V,RP
HMW,0.956,19.0,MIX,EXT,HF,RP
HMW,0.958,13.0,MIX,EXT,HF,RP
HMW,0.956,18.0,MIX,EXT,HF,RP
HMW,0.956,12.0,MIX,EXT,HF,RP
HDPE,0.958,0.16,MIX,EXT,HF,RP
HMW,0.958,14.0,MIX,EXT,HF,RP
HDPE,0.958,0.14,MIX,EXT,2.0,RP
HDPE,0.962,5.0,MIX,OFF,1.0,RG
HDPE,0.962,5.0,MIX,OFF,L,RG
HDPE,0.958,0.95,MIX,EXT,MEL,RP
HDPE,0.961,0.49,MIX,EXT,MEL,RP
HDPE,0.965,0.38,MIX,EXT,MEL,RP
HDPE,0.951,0.48,MIX,EXT,MEL,RP
HDPE,0.961,0.43,MIX,EXT,MEL,RP
HDPE,0.951,0.44,MIX,EXT,MEL,RP
HDPE,0.961,0.67,MIX,EXT,MEL,RP
HDPE,0.961,0.52,MIX,EXT,MEL,RP
HDPE,0.961,0.48,MIX,EXT,MEL,RP
HDPE,0.965,0.52,MIX,EXT,MEL,RP
HDPE,0.965,0.67,WH,EXT,MEL,RP
HDPE,0.961,0.38,MIX,EXT,MEL,RP
HDPE,0.965,0.57,MIX,EXT,MEL,RP
HMW,0.958,9.0,MIX,EXT,MEL,RG
HDPE,0.975,0.84,MIX,EXT,MEL,RG
HDPE,0.975,0.9,MIX,EXT,MEL,RG
HDPE,0.975,0.52,MIX,EXT,MEL,RG
HMW,0.958,0.09,MIX,EXT,HF,RP
HMW,0.958,0.11,MIX,EXT,HF,RP
HMW,0.958,0.1,MIX,EXT,HF,RP
HMW,0.958,0.08,MIX,EXT,HF,RP
HDPE,0.952,0.13,MIX,EXT,HF,RP
HMW,0.956,0.1,MIX,EXT,HF,RP
HMW,0.958,0.13,MIX,EXT,HF,RP
HMW,0.958,0.12,MIX,EXT,HF,RP
HDPE,0.956,4.4,BK,INJ,1.0,RP
HDPE,0.956,4.7,BK,INJ,1.0,RP
HDPE,0.969,0.58,MIX,EXT,MEL,RG
HDPE,0.958,4.0,BK,INJ,MEL,RP
HDPE,0.956,4.4,BK,INJ,MEL,RP
HDPE,0.965,0.4,MIX,EXT,2.0,RG
HDPE,0.961,0.35,MIX,EXT,2.0,RG
HDPE,0.965,0.75,MIX,EXT,2.0,RG
HDPE,0.975,0.39,MIX,EXT,2.0,RG
MDPE,0.942,4.2,BK,INJ,1.0,RP
MDPE,0.942,4.7,BK,INJ,1.0,RP
MDPE,0.942,3.7,BK,INJ,1.0,RP
MDPE,0.942,3.9,BK,INJ,1.0,RP
MDPE,0.942,4.3,BK,INJ,1.0,RP
MDPE,0.942,4.1,BK,INJ,1.0,RP
MDPE,0.951,4.5,BK,INJ,1.0,RP
MDPE,0.954,9.0,BK,INJ,1.0,RP
MDPE,0.951,6.0,BK,INJ,1.0,RP
MDPE,0.948,4.9,BK,INJ,1.0,RP
LDPE,0.925,0.69,WH,OFF,1.0,RP
LDPE,0.925,1.0,MIX,OFF,1.0,RP
HMW,0.965,10.0,MIX,EXT,HF,RP
LDPE,0.925,1.4,MIX,OFF,2.0,RP
HMW,0.965,12.0,MIX,EXT,HF,RP
HMW,0.969,11.0,MIX,EXT,HF,RP
HMW,0.965,17.0,MIX,EXT,HF,RP
HMW,0.961,7.0,MIX,EXT,2.0,RP
HDPE,0.951,6.9,MIX,INJ,MEL,RG
HDPE,0.961,0.35,MIX,EXT,E,RG
LDPE,0.975,6.3,NAT,OFF,CH,RP
HMW,0.965,11.0,MIX,EXT,HF,RP
HMW,0.965,9.0,MIX,EXT,2.0,RP
HMW,0.965,12.0,MIX,EXT,2.0,RP
LDPE,0.965,2.1,MIX,OFF,2.0,RP
LDPE,0.965,1.7,MIX,OFF,2.0,RP
LDPE,0.965,1.6,MIX,OFF,2.0,RP
LDPE,0.965,1.4,MIX,OFF,2.0,RP
LDPE,0.961,1.5,MIX,OFF,2.0,RP
LDPE,0.925,1.6,MIX,OFF,2.0,RP
HDPE,0.962,6.1,MIX,INJ,MEL,RG
LDPE,0.925,0.6,MIX,OFF,1.0,RP
HDPE,0.961,0.19,MIX,EXT,E,RG
HDPE,0.954,0.82,MIX,EXT,E,RG
