Items,melt,traction,COULEUR,I_CM,I_G,I_F,cendre,I1
PPH,25.0,1148.0,BK,HM,1,RP,2.3,0.73
PPH,29.09,1155.0,BK,HM,1,RP,1.9,1.0
PPH,27.0,1057.0,BK,HM,1,RP,2.4,0.75
PPH,35.0,1259.0,BK,HM,1,RP,1.7,0.46
PP,30.0,866.0,BK,INJ,1,RP,2.8,1.49
PP,30.0,968.02,BK,INJ,1,RP,2.6,1.2
PP,27.86,972.0,BK,INJ,1,RP,2.0,1.0
PP,28.0,987.58,BK,INJ,1,RP,2.5,1.2
PP,30.0,961.04,BK,INJ,1,RP,1.5,1.07
PP,26.0,973.0,BK,INJ,1,RP,1.9,1.2
PP,42.0,1014.68,BK,HM,1,RP,1.8,0.95
PP,37.0,1033.0,BK,HM,1,RP,1.6,1.0
PP,38.0,1069.0,BK,HM,1,RP,1.3,1.05
PP,37.59,1041.0,BK,HM,1,RP,1.4,1.0
PP,38.0,1026.0,BK,HM,1,RP,1.3,1.1
PP,41.0,1062.4,BK,HM,1,RP,1.1,1.0
-,37.59,1015.0,BK,HM,1,RP,1.4,1.0
PP,42.0,995.56,BK,HM,1,RP,2.2,0.8
PP,40.5,1013.0,BK,HM,1,RP,1.8,1.0
PP,40.0,998.36,BK,HM,1,RP,2.0,1.1
PP,40.0,1044.8,BK,HM,1,RP,1.5,1.18
PP,40.0,971.28,BK,HM,1,RP,0.8,1.4
PP,42.6,945.0,BK,HM,1,RP,0.9,1.0
PP,47.0,932.0,BK,HM,1,RP,1.0,1.22
PP,38.0,913.9,BK,HM,1,RP,1.0,1.3
PP,32.0,968.56,BK,HM,1,RP,1.1,1.4
PP,36.0,814.0,BK,INJ,1,RP,3.8,1.0
PPH,42.0,1401.4,BK,HM,1,RP,1.8,0.4
PPH,40.0,1398.6,BK,HM,1,RP,1.4,0.5
PPH,60.0,1416.8,BK,HM,1,RP,1.1,0.5
PP,40.0,924.0,BK,INJ,1,RP,0.8,1.1
PP,38.0,884.0,BK,INJ,1,RP,1.4,1.15
PP,20.0,1087.2,MIX,INJ,E,RG,0.8,0.82
PP,34.0,890.0,BK,INJ,1,RP,2.8,1.03
HIPS,4.3,966.0,BK,X,1,RP,5.0,1.6
HIPS,4.49,992.0,BK,X,1,RP,3.7,2.0
HIPS,4.3,973.0,BK,X,1,RP,5.2,1.6
HIPS,5.0,1021.86,BK,X,1,RP,3.8,1.48
HIPS,4.4,938.9,BK,X,1,RP,4.0,1.6
HIPS,4.4,979.0,BK,X,1,RP,3.0,1.5
HIPS,4.4,1017.48,BK,X,1,RP,4.0,1.54
HIPS,4.4,1034.8,BK,X,1,RP,3.6,1.3
HIPS,4.6,1015.58,BK,X,1,RP,3.9,1.54
HIPS,4.49,993.0,MIX,-,1,RG,3.7,2.0
HIPS,4.49,985.0,BK,-,1,RP,3.7,2.0
-,4.49,985.0,BK,X,1,RP,3.7,2.0
PP,34.0,1071.0,BK,HM,1,RP,2.2,1.1
PP,36.17,1094.0,BK,HM,1,RP,1.9,1.0
PP,35.0,1099.6,BK,HM,1,RP,1.9,1.14
PP,38.0,1074.0,BK,HM,1,RP,2.0,1.15
PP,37.0,1131.4,BK,HM,1,RP,1.6,1.02
PP,45.0,929.0,BK,HM,1,RP,1.7,1.2
PP,46.78,922.0,BK,HM,1,RP,1.7,1.0
PP,51.0,913.0,BK,HM,1,RP,2.0,1.3
PP,40.0,930.86,BK,HM,1,RP,1.8,1.4
PP,48.0,927.88,BK,HM,1,RP,1.7,1.3
-,46.78,917.0,BK,HM,1,RP,1.7,1.0
HIPS,4.6,1088.54,BK,INJ,1,RP,3.0,1.6
HIPS,3.3,915.0,BK,X,1,RP,9.6,1.29
HIPS,4.1,934.0,BK,X,1,RP,8.9,1.0
HIPS,4.4,952.0,BK,X,1,RP,8.2,1.2
HIPS,6.8,1020.0,BK,X,S,RP,3.8,1.5
HIPS,6.91,980.0,BK,X,S,RP,3.4,2.0
HIPS,7.0,939.0,BK,X,S,RP,3.1,1.7
PP,44.0,784.18,BK,INJ,1,RP,3.2,1.51
PP,40.0,1043.0,BK,INJ,1,RP,2.4,1.0
PP,18.0,3267.27,BK,INJ,1,RP,1.5,1.0
PP,22.25,2512.0,BK,INJ,1,RP,1.6,7.0
PP,22.0,2935.0,BK,INJ,1,RP,2.3,8.54
PP,25.0,2902.6,BK,INJ,1,RP,1.8,8.15
PP,24.0,2956.45,BK,INJ,1,RP,2.8,7.5
PP,25.0,2851.55,BK,INJ,1,RP,1.7,8.43
PP,25.0,776.0,BK,INJ,1,RP,1.4,7.51
PP,30.0,881.58,BK,INJ,1,RP,2.9,1.49
PP,30.0,882.0,BK,INJ,1,RP,2.9,1.0
PP,24.33,949.0,BK,INJ,1,RP,1.4,1.0
PP,25.0,895.58,BK,INJ,1,RP,1.5,1.38
PP,25.0,935.82,BK,INJ,1,RP,1.4,1.3
HIPS,5.0,1010.0,BK,INJ,1,RP,3.9,1.45
PP,25.0,920.0,BK,INJ,1,RP,1.2,1.57
PP,24.14,973.0,BK,INJ,1,RP,1.3,1.0
PP,23.0,1045.0,BK,INJ,1,RP,1.2,1.14
PP,25.0,924.76,BK,INJ,1,RP,1.3,1.29
PP,25.0,1000.68,BK,INJ,1,RP,1.3,1.4
PP,25.0,826.04,MIX,INJ,E,RG,2.0,1.2
PP,34.0,833.6,BK,INJ,1,RP,4.7,1.69
PP,34.0,835.2,BK,INJ,1,RP,5.2,1.75
PP,45.0,973.0,BK,HM,1,RP,1.8,1.0
PP,41.23,981.0,BK,HM,1,RP,1.8,1.0
PP,48.0,983.0,BK,HM,1,RP,1.7,1.0
PP,41.0,1022.0,BK,HM,1,RP,1.7,1.1
PP,36.0,762.0,BK,INJ,1,RP,3.3,1.69
PP,23.0,2836.3,BK,INJ,1,RP,1.5,7.5
-,22.25,1752.0,BK,INJ,1,RP,1.6,7.0
PP,48.0,1136.78,BK,HM,1,RP,1.2,0.6
PP,45.5,1192.0,BK,HM,1,RP,1.5,1.0
PP,53.0,1219.2,BK,HM,1,RP,0.82,0.6
PP,43.0,1129.4,BK,HM,1,RP,1.8,0.6
PPH,41.0,1096.8,BK,HM,1,RP,2.3,0.6
PPH,45.3,1096.0,BK,HM,1,RP,2.6,1.0
PPH,58.0,1122.4,BK,HM,1,RP,2.0,0.6
PP,32.0,990.94,BK,INJ,1,RP,1.2,1.4
HIPS,8.5,910.0,BK,X,1,RP,3.5,2.0
HIPS,7.0,900.64,BK,X,1,RP,3.6,1.98
HIPS,7.0,890.22,BK,X,1,RP,3.4,1.6
PPH,25.0,1166.2,BK,INJ,1,RP,0.7,0.6
PPH,30.0,1308.0,BK,INJ,1,RP,1.5,1.0
PPH,27.0,1297.0,BK,INJ,1,RP,1.4,0.6
PPH,28.0,1357.6,BK,INJ,1,RP,1.3,0.6
PP,48.0,992.44,BK,INJ,1,RP,3.1,0.54
PP,48.0,992.0,BK,INJ,1,RP,3.1,1.0
PP,35.0,1165.2,BK,INJ,1,RP,2.3,1.0
PP,35.0,888.38,BK,INJ,1,RP,3.1,1.1
PP,35.0,888.0,BK,INJ,1,RP,3.1,1.0
HIPS,7.8,997.0,BK,X,S,RP,2.9,1.6
HIPS,6.9,976.0,BK,X,S,RP,2.3,2.0
HIPS,7.4,955.0,BK,X,S,RP,2.1,1.7
HIPS,8.4,874.36,BK,X,S,RP,6.1,2.15
HIPS,7.88,896.0,BK,X,S,RP,5.0,2.0
HIPS,8.3,900.78,BK,X,S,RP,5.9,1.84
HIPS,7.8,906.16,BK,X,S,RP,6.0,1.9
HIPS,7.6,903.0,BK,X,S,RP,5.6,2.04
-,7.88,888.0,BK,X,S,RP,5.0,2.0
PS,5.2,1375.0,MIX,X,V,RP,0.1,1.0
PS,5.2,1375.0,MIX,X,V,RP,0.1,1.02
PS,5.2,1375.0,MIX,X,2,RP,0.1,1.0
PP,36.0,1134.4,BK,HM,1,RP,2.9,1.2
PP,40.6,1149.0,BK,HM,1,RP,2.7,1.0
PP,42.0,1184.6,BK,HM,1,RP,3.0,1.3
PP,50.0,1128.8,BK,HM,1,RP,1.8,1.2
HIPS,3.0,1032.56,BK,X,1,RP,4.9,1.6
HIPS,5.82,1071.0,BK,X,1,RP,4.5,1.0
HIPS,3.0,1061.4,BK,X,1,RP,4.3,1.3
-,5.82,1074.0,BK,X,1,RP,4.5,1.0
PP,30.0,1079.2,BK,HM,1,RP,2.0,1.2
PP,28.0,1093.8,BK,HM,1,RP,1.6,0.9
PP,39.8,1042.0,BK,HM,1,RP,1.3,1.0
PP,26.0,1052.6,BK,HM,1,RP,1.2,0.94
PP,53.0,994.0,BK,HM,1,RP,1.0,0.98
PP,47.0,991.0,BK,HM,1,RP,0.75,0.9
PP,35.0,1087.2,BK,HM,1,RP,1.7,1.2
PP,37.0,865.2,BK,INJ,1,RP,8.0,2.02
PP,18.0,858.0,BK,INJ,1,RP,6.8,2.4
PP,16.0,920.0,BK,INJ,1,RP,6.8,3.0
PP,23.14,839.0,BK,INJ,1,RP,7.4,3.0
PP,20.0,736.14,BK,INJ,1,RP,7.3,4.0
PP,30.0,728.14,BK,INJ,1,RP,6.0,3.9
PP,27.0,738.9,BK,INJ,1,RP,10.0,2.6
PP,24.0,883.84,BK,INJ,1,RP,7.6,2.8
PP,24.0,829.0,BK,INJ,1,RP,6.6,3.4
PP,24.0,918.2,BK,INJ,1,RP,6.7,3.6
-,23.14,812.0,BK,INJ,1,RP,7.4,3.0
PP,31.0,881.04,BK,INJ,1,RP,2.6,1.3
PP,35.0,833.92,BK,INJ,1,RP,3.0,1.1
PP,19.83,954.0,BK,INJ,1,RP,1.4,1.0
PP,19.0,968.0,BK,INJ,1,RP,0.8,1.3
PP,20.0,960.8,BK,INJ,1,RP,1.6,1.4
PP,21.0,959.0,BK,INJ,1,RP,1.4,1.4
PP,30.0,841.48,BK,INJ,1,RP,2.0,1.31
HIPS,6.3,1026.8,BK,X,S,RP,2.5,2.0
HIPS,6.3,1023.0,BK,X,S,RP,2.2,2.0
HIPS,6.2,1018.38,BK,X,S,RP,1.9,2.1
PP,34.0,1033.0,BK,INJ,1,RP,4.6,0.8
PP,34.0,1033.0,BK,INJ,1,RP,4.6,1.0
PP,35.0,902.0,BK,INJ,1,RP,1.6,1.0
PP,37.44,1167.0,BK,HM,1,RP,1.5,1.0
PP,40.0,1213.4,BK,HM,1,RP,1.4,1.1
PPH,28.0,1221.0,BK,HM,1,RP,2.2,0.56
PPH,40.0,1164.4,BK,HM,1,RP,1.1,0.6
PPH,45.71,1142.0,BK,HM,1,RP,1.9,1.0
PPH,42.0,1052.38,BK,HM,1,RP,1.8,0.6
PPH,40.0,1193.48,BK,HM,1,RP,2.4,0.6
PPH,53.0,1158.4,BK,HM,1,RP,1.6,0.48
PP,13.0,1098.8,BK,INJ,1,RP,10.0,0.73
PP,16.0,1072.22,BK,INJ,1,RP,9.2,0.75
PP,19.0,1087.8,BK,INJ,1,RP,9.8,0.71
PP,18.88,1057.0,BK,INJ,1,RP,9.9,1.0
PP,21.0,1081.8,BK,INJ,1,RP,10.0,0.7
PP,21.0,1038.86,BK,INJ,1,RP,10.0,0.8
PP,20.0,1039.34,BK,INJ,1,RP,10.0,0.9
PP,18.0,977.1,BK,INJ,1,RP,9.7,0.79
PP,30.0,922.38,BK,INJ,1,RP,2.6,1.2
PP,41.0,992.36,BK,INJ,1,RP,1.8,0.87
PP,40.0,927.74,BK,INJ,1,RP,4.5,1.09
PPH,35.0,790.14,BK,HM,1,RP,2.0,0.8
PPH,37.6,966.0,BK,HM,1,RP,2.0,1.0
PPH,38.0,929.8,BK,HM,1,RP,2.2,0.7
PPH,38.0,1097.48,BK,HM,1,RP,2.3,0.6
PPH,36.0,990.68,BK,HM,1,RP,1.7,0.72
PPH,41.0,1020.28,BK,HM,1,RP,2.0,0.6
HIPS,3.6,890.46,BK,X,1,RP,1.5,1.6
HIPS,4.33,872.0,BK,X,1,RP,2.5,2.0
PPH,42.0,1050.34,BK,HM,1,RP,2.0,0.7
PPH,41.5,990.0,BK,HM,1,RP,2.3,1.0
PPH,40.0,1038.42,BK,HM,1,RP,2.3,0.6
PPH,56.0,875.74,BK,HM,1,RP,2.5,0.4
HIPS,4.4,910.56,BK,X,1,RP,5.0,1.5
HIPS,4.44,903.0,BK,X,1,RP,5.2,2.0
HIPS,4.7,894.24,BK,X,1,RP,5.2,1.6
HIPS,4.5,913.42,BK,X,1,RP,5.1,1.5
HIPS,4.6,893.68,BK,X,1,RP,5.1,1.5
HIPS,4.0,903.02,BK,X,1,RP,5.4,1.49
PP,24.0,684.0,BK,INJ,1,RP,2.8,4.8
PP,20.14,938.0,BK,INJ,1,RP,1.8,2.0
PP,25.0,911.52,BK,INJ,1,RP,2.3,2.0
PP,25.0,1017.2,BK,INJ,1,RP,2.2,0.93
PP,29.0,747.0,BK,INJ,1,RP,1.8,2.0
PP,30.0,544.93,BK,INJ,1,RP,1.8,1.6
PP,30.0,710.56,BK,INJ,1,RP,1.7,1.5
PP,29.0,720.5,BK,INJ,1,RP,1.6,2.0
PP,27.25,847.0,BK,INJ,1,RP,4.2,2.0
PP,38.0,886.84,BK,INJ,1,RP,3.1,1.3
PP,40.38,833.0,BK,INJ,1,RP,2.5,1.0
PP,36.0,812.96,BK,INJ,1,RP,2.9,1.07
PP,45.0,749.36,BK,INJ,1,RP,2.7,1.2
PP,40.0,845.96,BK,INJ,1,RP,2.2,1.2
PP,40.0,762.72,BK,INJ,1,RP,2.3,1.3
PP,36.0,830.22,BK,INJ,1,RP,2.6,1.3
PP,45.0,943.0,BK,INJ,1,RP,2.3,1.0
PP,26.0,978.37,BK,INJ,1,RP,2.1,1.16
PP,32.0,980.0,BK,INJ,1,RP,1.5,1.0
PP,38.0,1126.0,BK,INJ,1,RP,1.1,0.5
PP,34.0,704.12,BK,INJ,1,RP,1.6,0.6
-,32.67,1052.0,BK,INJ,1,RP,1.6,1.0
PP,35.0,980.58,BK,INJ,1,RP,2.5,1.1
PP,28.0,989.0,BK,HM,1,RP,0.8,1.0
PP,35.69,998.0,BK,HM,1,RP,1.2,1.0
PP,22.0,984.0,BK,HM,1,RP,0.8,1.0
PP,32.0,985.0,BK,HM,1,RP,1.6,1.0
PP,38.0,993.28,BK,HM,1,RP,1.0,1.11
PP,36.0,990.34,BK,HM,1,RP,1.0,1.15
PP,40.0,1006.0,BK,HM,1,RP,1.3,1.2
PP,38.0,1026.8,BK,HM,1,RP,1.0,1.2
PP,43.0,981.0,BK,HM,1,RP,0.8,1.0
PP,39.0,994.0,BK,HM,1,RP,2.4,0.8
PP,21.0,780.9,BK,INJ,1,RP,1.8,1.5
PP,26.0,887.68,BK,INJ,1,RP,1.5,1.2
PP,25.3,908.0,BK,INJ,1,RP,1.8,1.0
PP,30.67,1300.0,BK,INJ,1,RP,1.0,1.0
PP,35.0,1411.8,BK,INJ,1,RP,1.0,0.6
PP,32.0,905.44,BK,INJ,1,RP,1.6,1.0
PPH,31.0,1284.2,BK,HM,1,RP,2.1,0.52
PPH,38.0,1361.0,BK,HM,1,RP,2.5,0.46
PPH,37.0,1286.6,BK,HM,1,RP,2.4,0.5
PPH,46.0,1286.6,BK,HM,1,RP,0.8,0.41
HIPS,4.0,925.38,BK,X,1,RP,5.0,1.6
HIPS,4.2,933.0,BK,X,1,RP,5.7,1.0
HIPS,4.6,917.92,BK,X,1,RP,5.1,1.5
HIPS,4.2,890.24,BK,X,1,RP,5.0,1.3
HIPS,4.3,936.14,BK,X,1,RP,5.8,1.47
HIPS,4.4,948.14,BK,X,1,RP,3.0,1.4
HIPS,3.7,979.64,BK,X,1,RP,10.0,1.2
PPH,44.0,1185.0,BK,HM,1,RP,2.9,0.41
PPH,48.0,1159.0,BK,HM,1,RP,2.6,0.51
PPH,40.0,1194.4,BK,HM,1,RP,2.6,0.6
PPH,62.0,1167.0,BK,HM,1,RP,2.4,0.8
PPH,51.0,1171.0,BK,HM,1,RP,1.6,0.47
PPH,45.0,1206.4,BK,HM,1,RP,1.6,0.49
HIPS,8.2,922.0,BK,HM,S,RP,4.6,1.6
HIPS,7.89,980.0,BK,HM,S,RP,3.2,1.0
HIPS,8.4,935.0,BK,HM,S,RP,3.1,1.68
HIPS,8.6,927.0,BK,HM,S,RP,3.3,1.6
HIPS,7.4,976.24,BK,HM,S,RP,3.2,1.5
HIPS,7.6,958.16,BK,HM,S,RP,3.7,1.6
HIPS,7.7,1042.0,BK,HM,S,RP,2.2,1.37
HIPS,7.5,1016.0,BK,HM,S,RP,2.1,1.42
HIPS,7.0,1004.14,BK,HM,S,RP,2.4,1.43
HIPS,7.2,1027.44,BK,HM,S,RP,2.2,0.9
-,8.02,936.0,BK,HM,S,RP,3.4,2.0
HIPS,4.6,936.86,BK,INJ,1,RP,4.6,1.4
HIPS,5.5,943.42,BK,X,1,RP,2.6,1.94
HIPS,5.58,978.0,BK,X,1,RP,3.1,2.0
HIPS,5.5,966.98,BK,X,1,RP,2.9,1.9
HIPS,5.5,981.0,BK,X,1,RP,4.2,1.86
HIPS,5.5,987.0,BK,X,1,RP,3.0,1.95
HIPS,5.0,960.0,BK,X,1,RP,2.4,2.01
HIPS,5.5,1015.0,BK,X,1,RP,3.0,1.71
HIPS,5.9,1032.0,BK,X,1,RP,2.4,1.63
HIPS,5.5,1008.0,BK,X,1,RP,2.9,1.7
PP,35.0,1109.2,BK,INJ,1,RP,1.9,1.0
PPH,42.0,1016.48,BK,HM,1,RP,2.4,0.48
PPH,41.25,1013.0,BK,HM,1,RP,2.4,1.0
PPH,37.0,961.08,BK,HM,1,RP,2.1,0.94
