Items,melt,flex,COULEUR,I_CM,I_G,I_F,cendre,I1
PP,19.0,160009.0,BK,INJ,1,RP,1.85,1.47
PP,26.7,168582.1,BK,INJ,1,RP,1.78,1.37
PP,21.0,121567.7,BK,INJ,S,RP,2.2,11.66
PP,19.41,132122.0,BK,INJ,S,RP,2.2,12.0
PP,18.85,140906.3,BK,INJ,S,RP,2.83,12.21
PPH,38.44,185236.5,BK,HM,1,RP,1.92,0.55
PP,4.6,183921.0,BK,INJ,1,RP,1.46,12.0
PP,4.88,171263.9,BK,INJ,1,RP,1.94,12.63
PP,12.88,140617.2,BK,INJ,1,RP,3.45,13.27
PP,10.82,134229.5,BK,INJ,1,RP,3.75,14.0
-,22.47,175892.0,BK,INJ,1,RP,2.5,1.0
PP,39.0,146229.1,BK,HM,1,RP,2.3,0.85
PP,47.0,146711.6,BK,HM,1,RP,1.8,0.94
PP,48.91,152192.0,BK,HM,1,RP,2.4,1.0
PP,35.4,172250.6,BK,HM,1,RP,2.4,0.99
PP,69.02,143577.9,BK,HM,1,RP,2.6,0.99
PP,34.0,209199.6,BK,HM,1,RP,2.2,0.77
PP,34.0,209200.0,BK,HM,1,RP,2.2,1.0
PP,22.0,163667.0,BK,INJ,1,RP,3.1,1.2
PP,20.0,185414.4,BK,INJ,1,RP,6.4,1.37
PP,24.5,169792.8,BK,INJ,1,RP,6.93,1.8
PP,22.68,177604.0,BK,INJ,1,RP,6.6,2.0
PP,31.0,175946.7,BK,HM,1,RP,6.8,1.14
PPH,31.0,150258.5,BK,HM,1,RP,3.0,0.88
PPH,35.72,156445.0,BK,HM,1,RP,1.8,1.0
PPH,48.0,168058.7,BK,HM,1,RP,1.6,0.55
PPH,42.0,151018.2,BK,HM,1,RP,1.8,0.62
PPH,56.0,182952.6,BK,HM,1,RP,2.36,0.55
PPH,45.72,188914.0,BK,HM,1,RP,1.9,1.0
PP,7.23,84762.94,BK,INJ,1,RP,2.68,10.42
PP,10.58,95255.0,BK,INJ,1,RP,2.0,11.0
HIPS,8.84,301234.0,BK,INJ,1,RP,4.3,2.0
HIPS,8.31,308813.9,BK,INJ,1,RP,4.2,1.73
HIPS,9.1,308370.9,BK,INJ,1,RP,3.56,1.8
-,8.84,293875.0,BK,INJ,1,RP,4.3,2.0
PPH,36.0,211132.1,BK,HM,1,RP,3.45,0.67
PPH,41.7,207555.0,BK,HM,1,RP,2.2,1.0
PPH,35.0,214121.7,BK,HM,1,RP,2.8,0.58
PPH,48.3,208822.6,BK,HM,1,RP,1.66,0.6
HIPS,3.0,305761.9,BK,X,1,RP,4.2,0.99
HIPS,3.14,300950.0,BK,X,1,RP,3.6,1.0
HIPS,2.6,301992.8,BK,X,1,RP,4.1,1.0
HIPS,3.4,300326.2,BK,X,1,RP,3.2,1.27
HIPS,3.5,295719.6,BK,X,1,RP,2.7,1.06
PPH,128.0,213135.8,BK,HM,1,RP,1.44,0.52
PPH,30.0,171351.2,BK,HM,1,RP,1.9,0.56
PPH,30.22,188050.0,BK,HM,1,RP,2.2,1.0
PPH,28.0,176855.2,BK,HM,1,RP,2.2,0.58
PPH,31.0,215944.7,BK,HM,1,RP,2.3,0.56
PP,34.0,167055.4,BK,HM,1,RP,2.4,0.97
HIPS,9.1,303337.6,BK,INJ,1,RP,6.0,1.62
HIPS,9.6,312541.2,BK,INJ,1,RP,4.22,1.63
HIPS,9.96,306567.0,BK,INJ,1,RP,4.4,1.0
HIPS,9.8,315415.0,BK,INJ,1,RP,4.3,1.11
HIPS,8.2,294974.7,BK,INJ,1,RP,4.0,1.63
PP,28.0,138711.2,BK,INJ,1,RP,1.5,1.66
ABS,2.9,335868.4,GREY,INJ,S,RP,1.7,2.9
ABS,2.98,341632.0,GREY,INJ,S,RP,2.0,3.0
ABS,2.98,340289.6,GREY,INJ,S,RP,1.68,3.0
ABS,3.37,348736.8,GREY,INJ,S,RP,2.3,2.7
PP,36.4,196460.1,BK,HM,1,RP,4.1,1.17
PP,32.75,194580.0,BK,HM,1,RP,3.6,1.0
PP,33.84,194664.0,BK,HM,1,RP,4.1,1.19
PP,34.0,167055.0,BK,HM,1,RP,2.4,1.0
PPH,37.24,181361.0,BK,HM,1,RP,1.7,1.0
PP,17.95,125727.0,BK,INJ,1,RP,1.41,0.65
PP,22.54,131012.3,BK,INJ,1,RP,1.03,0.58
PP,24.0,129053.1,BK,INJ,1,RP,0.91,0.7
PPH,36.0,179412.3,BK,HM,1,RP,2.32,0.64
PPH,36.2,171688.0,BK,HM,1,RP,2.3,1.0
PPH,35.0,155374.2,BK,HM,1,RP,2.2,0.61
PPH,38.0,180277.1,BK,HM,1,RP,3.1,0.55
PP,16.0,134314.7,BK,INJ,1,RP,3.48,1.6
PP,25.0,186758.3,BK,INJ,1,RP,1.1,0.57
PP,36.0,201741.7,BK,INJ,1,RP,2.28,0.62
PP,36.0,203724.6,BK,INJ,1,RP,1.61,0.57
PP,38.0,197367.5,BK,INJ,1,RP,1.2,0.61
PPH,37.0,195286.4,BK,HM,1,RP,1.73,0.53
PPH,43.43,192887.0,BK,HM,1,RP,1.9,1.0
PPH,38.0,205314.2,BK,HM,1,RP,2.8,0.49
PPH,39.0,177244.2,BK,HM,1,RP,2.9,0.6
PPH,49.0,193702.9,BK,HM,1,RP,1.43,0.57
HIPS,5.7,326344.9,BK,X,1,RP,3.2,1.32
HIPS,6.13,324718.0,BK,X,1,RP,3.5,2.0
HIPS,5.8,322734.9,BK,X,1,RP,4.56,1.4
HIPS,5.4,351092.5,BK,X,1,RP,2.1,1.31
HIPS,5.24,325481.7,BK,X,1,RP,2.02,1.8
HIPS,8.0,285953.6,BK,X,1,RP,5.2,1.5
PP,35.0,181621.7,BK,HM,1,RP,2.6,0.74
PP,61.0,181890.4,BK,HM,1,RP,4.0,1.32
PP,43.84,177935.0,BK,HM,1,RP,3.7,1.23
HIPS,7.4,309215.5,BK,X,1,RP,7.5,1.43
HIPS,7.05,304783.0,BK,X,1,RP,5.6,1.0
HIPS,7.6,311537.5,BK,X,1,RP,7.3,1.45
HIPS,6.6,319981.5,BK,X,1,RP,5.43,1.41
HIPS,6.0,316142.0,BK,X,1,RP,5.0,1.37
HIPS,5.9,296093.7,BK,X,1,RP,5.8,1.5
HIPS,7.6,296030.4,BK,X,1,RP,6.5,1.31
HIPS,7.4,295745.2,BK,X,1,RP,6.5,1.25
HIPS,9.06,279981.0,BK,X,1,RP,4.7,1.21
PP,27.8,138933.3,BK,INJ,1,RP,3.7,1.04
-,7.02,313578.0,BK,X,1,RP,5.7,1.0
-,6.13,317933.0,BK,X,1,RP,3.5,1.0
PP,12.0,156017.6,BK,INJ,1,RP,2.0,9.49
PP,36.0,197589.4,BK,HM,1,RP,2.1,0.69
HIPS,10.24,292683.0,BK,X,1,RP,4.9,2.0
HIPS,9.0,278276.7,BK,X,1,RP,4.5,1.6
PP,17.16,142976.0,BK,INJ,1,RP,1.4,6.0
PP,16.0,125774.1,BK,INJ,1,RP,2.4,3.73
PP,19.94,142658.4,BK,INJ,1,RP,1.83,9.24
PP,19.0,150104.6,BK,INJ,1,RP,1.2,9.65
PP,17.0,128549.6,BK,INJ,1,RP,0.8,2.77
PP,16.8,146429.2,BK,INJ,1,RP,1.27,6.4
PP,17.0,151296.7,BK,INJ,1,RP,1.19,2.73
PP,31.34,190257.5,BK,HM,1,RP,5.33,0.81
TPO,16.95,194650.0,BK,INJ,1,RP,16.0,6.0
TPO,15.0,194650.5,BK,INJ,1,RP,16.0,6.6
PP,25.71,223607.0,BK,INJ,1,RP,3.7,2.0
HIPS,6.9,301968.0,BK,X,1,RP,6.0,1.94
HIPS,7.73,302873.0,BK,X,1,RP,5.6,2.0
HIPS,6.4,307863.8,BK,X,1,RP,5.74,1.9
HIPS,7.1,312647.5,BK,X,1,RP,5.6,1.79
PP,31.71,203236.0,BK,INJ,1,RP,4.7,1.0
HIPS,3.3,294567.0,BK,X,1,RP,3.1,1.1
HIPS,3.5,290041.0,BK,X,1,RP,3.53,1.4
HIPS,3.18,293391.0,BK,X,1,RP,3.1,1.0
HIPS,3.25,295895.0,BK,X,1,RP,3.0,0.9
HIPS,2.78,293059.9,BK,X,1,RP,3.0,1.17
PP,29.8,197515.6,BK,INJ,1,RP,2.9,0.74
HIPS,8.53,297840.3,BK,X,1,RP,7.76,1.61
HIPS,7.97,299096.0,BK,X,1,RP,8.8,2.0
HIPS,8.4,298953.2,BK,X,1,RP,10.1,1.53
HIPS,6.9,300494.6,BK,X,1,RP,9.74,1.57
HIPS,6.4,313792.9,BK,X,1,RP,7.8,1.42
HIPS,6.99,330483.0,BK,X,1,RP,7.8,1.0
HIPS,7.2,327981.2,BK,X,1,RP,8.26,1.24
HIPS,7.6,326242.2,BK,X,1,RP,8.3,1.25
HIPS,7.0,340059.4,BK,X,1,RP,8.2,1.35
HIPS,7.2,343335.5,BK,X,1,RP,6.6,1.11
PP,30.0,200780.6,MIX,INJ,1,RG,1.0,0.64
PP,35.0,182383.7,BK,HM,1,RP,2.8,0.52
HIPS,6.3,316004.6,BK,X,1,RP,6.9,1.23
HIPS,5.47,316005.0,BK,X,1,RP,5.3,1.0
HIPS,8.4,310884.6,BK,X,1,RP,6.9,1.46
HIPS,4.5,263682.2,BK,X,3,RP,5.1,2.1
HIPS,4.35,260607.0,BK,X,3,RP,5.0,2.0
PP,14.2,148474.0,BK,INJ,1,RP,3.9,13.3
PP,20.62,157828.9,BK,INJ,1,RP,2.83,12.12
PP,18.14,151856.0,BK,INJ,1,RP,2.9,13.0
PP,18.2,145638.2,BK,INJ,1,RP,2.17,12.62
PP,24.0,147149.8,BK,INJ,1,RP,2.7,0.92
PP,24.0,151248.3,BK,INJ,1,RP,2.62,0.9
PP,40.3,151463.0,BK,HM,1,RP,2.2,1.0
PP,43.36,172720.2,BK,HM,1,RP,2.6,1.15
PP,40.0,135760.9,BK,HM,1,RP,2.3,1.05
PP,32.4,148223.4,BK,HM,1,RP,1.1,1.31
PP,34.1,165074.3,BK,INJ,1,RP,4.6,0.86
PP,24.4,199736.0,BK,INJ,1,RP,1.8,1.12
PP,30.0,200578.7,BK,HM,1,RP,2.49,1.05
PP,32.76,197978.3,BK,HM,1,RP,1.08,1.01
PP,34.48,194218.0,BK,HM,1,RP,1.6,1.0
PP,33.62,189012.6,BK,HM,1,RP,2.88,1.1
PP,35.0,199736.0,BK,HM,1,RP,1.85,1.09
PP,31.7,170491.1,BK,INJ,1,RP,2.1,1.06
PP,36.0,188175.4,BK,HM,1,RP,1.88,0.71
PP,35.82,203547.0,BK,HM,1,RP,2.1,1.0
PP,37.5,207697.2,BK,HM,1,RP,2.85,0.69
HIPS,3.16,302851.0,BK,X,1,RP,2.3,1.0
HIPS,3.3,300854.6,BK,X,1,RP,2.5,1.2
HIPS,3.5,306603.3,BK,X,1,RP,2.3,1.12
HIPS,6.7,311599.8,BK,X,1,RP,5.23,1.33
HIPS,7.75,296177.0,BK,X,1,RP,4.1,2.0
HIPS,7.34,297057.9,BK,X,1,RP,4.8,1.67
HIPS,8.0,297233.8,BK,X,1,RP,3.2,1.6
HIPS,7.0,299477.0,BK,X,1,RP,3.7,1.92
HIPS,8.6,291474.8,BK,X,1,RP,3.444,1.75
HIPS,6.1,277036.2,BK,X,1,RP,4.7,1.9
PP,27.0,177694.0,BK,INJ,1,RP,3.7,1.08
PP,26.42,177694.0,BK,INJ,1,RP,4.9,1.0
PP,16.0,169623.8,BK,INJ,1,RP,12.3,4.78
PP,19.8,171459.5,BK,INJ,1,RP,11.2,5.31
PP,37.72,144524.1,BK,HM,1,RP,12.76,2.96
HIPS,7.75,296177.0,MIX,X,1,RP,4.1,2.0
PP,22.76,163612.0,BK,INJ,1,RP,2.6,3.0
PP,22.0,158153.0,BK,INJ,1,RP,3.0,2.27
PP,22.0,158855.2,BK,INJ,1,RP,3.0,3.37
PP,23.58,166248.6,BK,INJ,1,RP,2.07,3.2
PP,23.4,167961.9,BK,INJ,1,RP,2.1,3.1
PP,23.3,159733.0,BK,INJ,1,RP,1.46,2.68
PP,40.0,198748.1,BK,HM,1,RP,2.2,0.6
PP,31.0,190021.4,BK,HM,1,RP,2.0,0.61
PP,33.56,201018.0,BK,HM,1,RP,2.0,1.0
PP,33.0,205057.4,BK,HM,1,RP,2.4,0.77
PP,37.8,210244.5,BK,HM,1,RP,1.68,0.68
PP,44.52,136523.3,BK,HM,1,RP,15.65,2.9
PP,38.53,153988.0,BK,HM,1,RP,12.8,3.0
HIPS,7.1,299992.3,BK,X,1,RP,4.05,1.92
PP,29.8,182938.8,BK,HM,1,RP,1.1,0.94
PP,22.0,168185.9,BK,INJ,1,RP,6.67,1.58
PP,25.0,158645.5,BK,INJ,1,RP,6.4,1.7
PP,33.83,163416.0,BK,INJ,1,RP,6.5,2.0
PP,35.0,170562.2,BK,HM,1,RP,7.8,1.61
PP,34.7,170562.0,BK,HM,1,RP,7.3,2.0
PS,4.9,316248.8,MIX,X,1,RP,0.81,0.68
PS,4.93,314631.0,MIX,X,1,RP,0.8,1.0
PS,5.0,313014.0,MIX,X,1,RP,0.74,0.63
HIPS,5.66,316832.4,BK,X,1,RP,4.98,1.24
HIPS,5.63,308424.0,BK,X,1,RP,4.7,1.0
HIPS,6.42,317093.0,BK,X,1,RP,3.79,1.35
HIPS,5.5,323506.8,BK,X,1,RP,4.92,1.24
HIPS,5.6,297457.1,BK,X,1,RP,4.71,1.35
GPPS,3.2,432858.8,BK,X,1,RP,1.9,0.59
GPPS,3.3,420164.7,BK,X,1,RP,2.2,0.51
HIPS,4.93,303149.9,BK,X,1,RP,7.34,1.07
HIPS,4.53,313248.0,BK,X,1,RP,7.4,1.0
HIPS,5.0,310216.8,BK,X,1,RP,7.4,1.12
HIPS,4.0,322458.8,BK,X,1,RP,7.3,1.22
HIPS,4.2,323069.0,BK,X,1,RP,7.42,1.16
PP,19.98,198371.5,BK,INJ,1,RP,7.81,1.12
PP,24.91,195887.0,BK,INJ,1,RP,8.1,1.0
PP,18.23,196059.2,BK,INJ,1,RP,8.6,1.07
PP,21.0,189185.8,BK,INJ,1,RP,4.3,1.1
PP,28.0,182843.1,BK,INJ,1,RP,3.5,1.12
PP,29.52,210604.2,BK,INJ,1,RP,9.62,0.99
PP,27.0,162759.2,MIX,EXT,1,RP,8.04,0.77
TPO,28.65,273493.0,BK,INJ,1,RP,22.6,6.0
TPO,31.0,275680.7,BK,INJ,1,RP,22.3,6.56
TPO,28.21,279052.3,BK,INJ,1,RP,22.04,5.63
TPO,29.0,262352.8,BK,INJ,1,RP,22.4,6.42
PP,18.7,134514.3,BK,INJ,S,RP,3.0,11.79
PP,18.6,135615.4,BK,INJ,S,RP,3.6,11.94
PP,21.35,114964.1,BK,INJ,S,RP,3.35,10.81
PP,19.2,119517.3,BK,INJ,S,RP,3.83,10.6
PP,31.7,181928.3,BK,HM,1,RP,3.4,1.3
PP,23.8,169777.5,BK,INJ,1,RP,2.4,1.14
TPO,18.0,225229.6,BK,INJ,1,RP,17.1,5.43
TPO,18.0,223915.0,BK,INJ,1,RP,16.2,5.5
TPO,20.79,227582.0,BK,INJ,1,RP,15.8,5.0
TPO,23.2,228284.1,BK,INJ,1,RP,17.4,5.53
TPO,22.0,232897.4,BK,INJ,1,RP,15.1,5.4
PP,31.7,181928.0,BK,HM,1,RP,3.4,1.0
PP,32.3,203748.6,BK,HM,1,RP,4.7,0.76
-,32.3,203749.0,-,-,-,-,4.7,1.0
PPH,36.84,210271.0,BK,HM,1,RP,3.9,1.0
PPH,40.0,210271.1,BK,HM,1,RP,4.74,0.62
PP,35.0,218512.3,BK,HM,1,RP,7.8,0.71
PP,33.4,209752.9,BK,HM,1,RP,8.73,1.26
PPH,28.0,242527.6,BK,INJ,1,RP,3.41,0.59
PPH,30.0,246179.9,BK,HM,1,RP,3.53,0.6
PPH,30.0,246180.0,BK,HM,1,RP,3.5,1.0
PP,33.0,228798.3,BK,HM,1,RP,3.88,0.95
PP,33.0,228798.0,BK,HM,1,RP,3.9,1.0
PPH,49.44,151272.0,BK,HM,1,RP,1.7,1.0
PPH,48.0,140641.0,BK,HM,1,RP,2.41,0.62
HIPS,10.0,300236.3,BK,X,1,RP,4.0,1.74
HIPS,10.4,304194.7,BK,X,1,RP,3.9,1.76
HIPS,10.33,304991.0,BK,X,1,RP,4.5,2.0
HIPS,10.2,313427.2,BK,X,1,RP,5.34,1.72
HIPS,10.14,310143.8,BK,X,1,RP,4.04,1.89
HIPS,8.5,302592.8,BK,X,1,RP,4.0,1.59
-,10.33,301260.0,BK,X,1,RP,4.5,2.0
PP,29.04,227872.8,BK,HM,1,RP,6.19,0.93
HIPS,5.6,312986.2,BK,X,1,RP,5.64,1.24
HIPS,4.7,306364.4,BK,X,1,RP,6.0,1.01
HIPS,5.47,309675.0,BK,X,1,RP,5.8,1.0
HIPS,4.76,318293.9,BK,X,1,RP,10.76,1.43
